ds,yhat,ytrue,accuracy
7/1/2017,144618.4734,155487.6309,93.00963208
7/2/2017,155341.6857,172890.1386,89.84993996
7/3/2017,122390.8295,130389.199,93.86577297
7/4/2017,127649.4124,131534.548,97.04630027
7/5/2017,160258.3787,163804.33,97.83525176
7/6/2017,102675.7385,99395.60498,96.69992101
7/7/2017,116024.4373,114346.5741,98.53265114
7/8/2017,144872.513,139294.773,95.99572916
7/9/2017,155595.7253,156633.9205,99.33718366
7/10/2017,122644.8691,118856.9911,96.81307932
7/11/2017,127903.452,122176.3577,95.31243656
7/12/2017,160512.4182,152978.411,95.07511733
7/13/2017,102929.778,92111.273,88.25496092
7/14/2017,116278.4768,110263.0792,94.54450425
7/15/2017,145126.5525,133166.714,91.01889792
7/16/2017,155849.7648,157883.056,98.71215365
7/17/2017,122898.9086,119026.4402,96.74654772
7/18/2017,128157.4915,118281.401,91.65034364
7/19/2017,160766.4578,150952.6981,93.49878483
7/20/2017,103183.8176,97593.16687,94.27147323
7/21/2017,116532.5164,110555.1281,94.59329626
7/22/2017,145380.5921,130700.6797,88.76829683
7/23/2017,156103.8044,146226.4572,93.24517097
7/24/2017,123152.9482,117117.095,94.84630902
7/25/2017,128411.5311,115457.6587,88.78041308
7/26/2017,161020.4973,145917.9191,89.64994956
7/27/2017,103437.8571,90481.2861,85.6803859
7/28/2017,116786.5559,111948.89,95.67868346
7/29/2017,145634.6316,131988.662,89.66125617
7/30/2017,156357.8439,146045.795,92.93916752
